,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 11:30:00.000,-0.259165,3.33241,0.406093,10.8768470522,394.112,7.4551
2018-08-13 11:30:00.100,-0.114277,3.36608,0.832847,11.0937907708,394.535,7.32271
2018-08-13 11:30:00.200,-0.27447,3.76503,0.525727,11.3310100359,395.316,6.98443
2018-08-13 11:30:00.300,-0.258144,4.00175,0.402011,10.9558789716,395.061,6.91087
2018-08-13 11:30:00.400,-0.33773,3.95175,0.33824,10.9844676924,395.143,6.85304
2018-08-13 11:30:00.500,-0.192843,4.03542,0.617046,10.4717709926,395.249,6.77035
2018-08-13 11:30:00.600,-0.257124,4.0997,0.457619,10.8196818786,395.229,6.68844
2018-08-13 11:30:00.700,0.125501,4.21091,0.358392,10.5020156474,395.44,6.5879
2018-08-13 11:30:00.800,0.0601997,3.95685,0.485423,10.5289011387,395.51,6.53001
2018-08-13 11:30:00.900,-0.561183,4.43131,0.473945,10.394486423,395.572,6.47491
2018-08-13 11:30:01.000,-0.227534,4.81393,0.354566,10.2852979202,395.445,6.45143
2018-08-13 11:30:01.100,0.298958,4.29152,0.478026,10.2852979202,395.613,6.40287
2018-08-13 11:30:01.200,0.125501,4.3405,0.50634,10.2852979202,395.492,6.36352
2018-08-13 11:30:01.300,-0.0510167,4.41804,0.358647,10.3692872098,395.621,6.3527
2018-08-13 11:30:01.400,0.204067,4.5466,0.62929,10.3928064406,395.588,6.32773
2018-08-13 11:30:01.500,0.363239,4.19561,0.601486,10.6919217058,395.505,6.33032
2018-08-13 11:30:01.600,-0.212229,4.67211,0.0507616,10.3676073021,395.497,6.33571
2018-08-13 11:30:01.700,0.076525,4.43335,0.234166,10.5305815242,395.594,6.34259
2018-08-13 11:30:01.800,0.012244,4.67313,0.222433,10.7389878987,395.489,6.31688
2018-08-13 11:30:01.900,-0.067342,4.43437,0.41451,10.4717709926,395.531,6.31832
2018-08-13 11:30:02.000,-0.0683623,4.49763,0.00688725,10.5524269888,395.603,6.33401
2018-08-13 11:30:02.100,-0.0346913,4.32213,-0.157386,10.2852979202,395.499,6.33503
2018-08-13 11:30:02.200,-0.226514,4.12929,-0.328802,10.3894464908,395.564,6.31918
2018-08-13 11:30:02.300,-0.101013,4.05072,-0.372422,10.3894464908,395.589,6.30814
2018-08-13 11:30:02.400,0.0265287,3.93951,-0.189272,10.5272207582,395.508,6.29808
2018-08-13 11:30:02.500,0.235697,3.92216,-0.224983,10.5809954038,395.459,6.29646
2018-08-13 11:30:02.600,0.0132643,4.01807,0.258654,10.661666928,395.527,6.31137
2018-08-13 11:30:02.700,0.601997,3.92318,0.190802,10.5826759436,395.483,6.3492
2018-08-13 11:30:02.800,0.249982,3.94155,0.194629,10.5255403826,395.368,6.36783
2018-08-13 11:30:02.900,0.364259,4.01909,0.0987172,10.6885599842,395.499,6.37891
2018-08-13 11:30:03.000,0.332629,3.92216,0.0668318,10.6633477066,395.531,6.37271
2018-08-13 11:30:03.100,0.204067,3.79462,-0.177538,10.4717709926,395.478,6.36552
2018-08-13 11:30:03.200,0.49078,4.11398,-0.196669,10.6062040233,395.524,6.35656
2018-08-13 11:30:03.300,0.410174,4.01603,-0.165294,10.9827859631,395.515,6.35392
2018-08-13 11:30:03.400,0.395889,4.40376,-0.112747,10.5507465386,395.397,6.36626
