,LE,T_air,P_air,RH_air,wind_speed,wind_dir,Enet,ground_heat_flux
2015-06-03 00:00:00,3.85402975962,0.9239721,1005.362,76.65178,4.25014320261,110.197824316,3.83064672474,4.634496
2015-06-03 02:00:00,3.57493860371,0.2679166,1004.384,79.73442,4.13602123114,113.06633134,49.4454276072,2.988758
2015-06-03 02:30:00,4.34608205215,0.4345889,1004.068,80.63579,3.81028450925,104.973852609,54.1732943072,2.765364
2015-06-03 04:30:00,5.39792159899,0.7854111,1002.762,77.82481,1.55170889804,90.1333881498,75.7659708749,2.738016
2015-06-03 05:00:00,11.638961931,1.268628,1002.484,73.21292,0.545031204356,66.4272401132,116.691388952,3.62531
2015-06-03 05:30:00,11.5556374158,0.9653277,1002.015,76.02959,1.11961125742,336.691588379,125.580593663,5.147447
2015-06-03 06:00:00,11.6365979099,0.9054833,1001.683,77.53785,1.23029989567,330.889529512,136.36439648,6.404435
2015-06-03 06:30:00,12.280226619,1.077539,1001.401,79.00151,0.638619992554,343.200677938,110.963792238,7.324692
2015-06-03 07:00:00,8.65356442674,0.8428777,1000.945,83.06747,1.96118856935,334.388284488,121.903850813,8.052475
2015-06-03 07:30:00,13.3434106474,1.152489,1000.717,83.92094,1.51991597833,338.606386531,176.721843837,8.112023
2015-06-03 08:00:00,11.0300765742,1.371044,1000.469,81.00798,0.596894957126,278.6774544,119.809054485,8.623804
2015-06-03 09:00:00,8.53371641318,1.357444,1000.043,81.39674,2.53854817471,320.230708033,119.08614159,10.16007
2015-06-03 09:30:00,10.2277841965,1.402856,999.766,81.90274,3.05034825788,336.819836212,127.399621725,9.922978
2015-06-03 10:00:00,23.7023323268,1.694072,999.3425,80.49973,3.88236394104,323.431850891,255.159062965,8.99257
2015-06-03 10:30:00,22.9339386809,1.936656,998.9945,80.12251,4.13876407154,325.247439774,256.330063949,8.639706
2015-06-03 11:30:00,27.8013298812,2.184117,998.6455,78.9416,4.55560242706,316.327477547,263.294248462,9.992629
2015-06-03 12:30:00,25.2258961913,2.308594,998.1871,79.95878,4.95291678613,317.729214909,203.813507317,10.41225
2015-06-03 13:00:00,19.6876475693,2.233166,997.9328,80.42546,5.34452705417,311.97605388,175.131106518,9.995741
2015-06-03 14:00:00,19.4403627631,2.5017,997.5864,80.10732,5.33198257905,311.474963994,230.639263158,9.263441
2015-06-03 15:30:00,34.7910934322,3.402233,997.0091,75.97729,4.22145201441,314.084649819,256.089028205,10.62903
2015-06-03 16:00:00,35.3356519404,3.319083,996.8913,76.56664,4.59867163665,318.453325996,210.963676476,11.75229
2015-06-03 16:30:00,36.5876614623,3.358428,996.8287,75.55237,4.83187058777,324.065674663,345.933992724,11.86755
2015-06-03 17:00:00,41.8368953103,3.516439,996.6933,72.74815,4.32845978516,324.679720974,185.067062958,12.18262
2015-06-03 18:00:00,34.0605056641,3.846627,996.594,65.6014,3.21438618677,341.935694768,177.971660238,12.02308
2015-06-03 18:30:00,39.0229312646,3.714839,996.4418,68.20822,3.12051290196,319.730355342,166.717621341,11.56761
2015-06-03 19:00:00,48.0304565798,3.711872,996.3333,67.87843,3.68679608595,324.594768964,146.52130895,11.47529
2015-06-03 19:30:00,42.2795212717,3.407689,996.2064,69.45004,4.9780342709,326.131681411,129.785247122,11.42645
2015-06-03 20:00:00,26.7148795941,3.162533,996.0944,72.24867,5.33258071091,318.648433651,92.0522363142,10.45066
2015-06-03 20:30:00,22.6386437191,3.026544,996.1069,72.25981,5.02852495792,313.414387517,89.2755791893,9.13933
