,LE,T_air,wind_speed,Enet,RH_air
2015-06-03 14:00:00,19.4403627631,2.5017,5.33198257905,230.639263158,80.10732
2015-06-03 15:30:00,34.7910934322,3.402233,4.22145201441,256.089028205,75.97729
2015-06-03 16:00:00,35.3356519404,3.319083,4.59867163665,210.963676476,76.56664
2015-06-03 16:30:00,36.5876614623,3.358428,4.83187058777,345.933992724,75.55237
2015-06-03 17:00:00,41.8368953103,3.516439,4.32845978516,185.067062958,72.74815
2015-06-03 18:00:00,34.0605056641,3.846627,3.21438618677,177.971660238,65.6014
2015-06-03 18:30:00,39.0229312646,3.714839,3.12051290196,166.717621341,68.20822
2015-06-03 19:00:00,48.0304565798,3.711872,3.68679608595,146.52130895,67.87843
2015-06-03 19:30:00,42.2795212717,3.407689,4.9780342709,129.785247122,69.45004
2015-06-03 20:00:00,26.7148795941,3.162533,5.33258071091,92.0522363142,72.24867
2015-06-03 20:30:00,22.6386437191,3.026544,5.02852495792,89.2755791893,72.25981
2015-06-03 21:00:00,21.6962543198,2.844422,5.40317927725,66.564582838,73.83769
2015-06-03 21:30:00,12.6808920981,2.345556,5.85891090803,59.2400944098,77.76586
2015-06-03 22:00:00,11.166126181,2.140161,5.56447301936,62.8145992789,78.37188
2015-06-03 22:30:00,10.482062682,2.007072,5.19805857415,58.5357710432,78.97224
2015-06-04 00:30:00,1.86995529825,1.688183,3.75495702742,30.0049083238,82.14844
2015-06-04 02:00:00,5.72618307275,1.396194,4.45236277654,62.537759669,82.22541
2015-06-04 02:30:00,5.26863385833,1.312567,4.42006721892,46.3257168621,81.67153
2015-06-04 03:00:00,4.66457822671,1.25085,4.45679455662,33.2513801521,80.12106
2015-06-04 03:30:00,4.82779316498,1.302967,4.56746675562,38.6874812654,79.7198
2015-06-04 04:00:00,6.11007767531,1.401589,4.26747914378,42.7931727865,76.94023
2015-06-04 04:30:00,7.06229876769,1.399239,4.11812348984,64.3949465419,76.64059
2015-06-04 05:00:00,9.8323591317,1.419456,3.89302481126,59.8301217487,74.59176
2015-06-04 05:30:00,9.2805144998,1.346711,5.00722742432,67.0522793242,76.66129
