,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:05.700,-0.962174,0.85912,-0.129582,9.95953726957,394.586,6.48016
2018-08-13 09:30:05.800,-0.945849,0.937686,0.0186211,10.0653049849,394.715,6.49446
2018-08-13 09:30:05.900,-0.994825,1.01625,-0.0655564,10.0166158052,394.594,6.5688
2018-08-13 09:30:06.000,-0.915239,0.987683,-0.0420887,10.1761304447,394.737,6.58645
2018-08-13 09:30:06.100,-0.800961,1.08155,-0.157641,10.1190358337,394.79,6.60231
2018-08-13 09:30:06.200,-0.768311,1.0336,-0.0974418,10.0401204038,394.714,6.60774
2018-08-13 09:30:06.300,-0.769331,1.01727,0.0104584,10.0149369426,394.664,6.61813
2018-08-13 09:30:06.400,-0.708111,0.905035,0.0464252,10.3625676088,394.736,6.66492
2018-08-13 09:30:06.500,-0.803002,0.842795,0.186211,10.6314137626,394.615,6.71448
2018-08-13 09:30:06.600,-0.832592,0.681583,0.182129,10.8465824201,394.527,6.76534
2018-08-13 09:30:06.700,-0.61118,0.699949,0.297937,10.9827859631,394.588,6.78287
2018-08-13 09:30:06.800,-0.755046,0.731579,0.501239,10.7927826112,394.664,6.79289
2018-08-13 09:30:06.900,-0.783616,0.669339,0.545368,10.1794891304,394.552,6.81686
2018-08-13 09:30:07.000,-1.12237,0.584651,0.0186211,10.7104115305,394.786,6.75465
2018-08-13 09:30:07.100,-1.31215,0.791779,0.00688725,10.122394181,394.639,6.79697
2018-08-13 09:30:07.200,-1.39378,0.810144,0.0423438,10.0166158052,394.818,6.75733
2018-08-13 09:30:07.300,-1.29582,0.85708,0.0543327,9.79840540144,394.836,6.6779
2018-08-13 09:30:07.400,-1.26419,0.793819,0.130348,9.93603601539,394.989,6.62835
2018-08-13 09:30:07.500,-1.29582,0.777494,0.126011,9.95953726957,395.0,6.64499
2018-08-13 09:30:07.600,-1.05911,0.761169,0.142081,9.96289467123,394.748,6.64865
2018-08-13 09:30:07.700,-1.18563,0.810144,0.0619852,9.90750008958,394.723,6.64451
2018-08-13 09:30:07.800,-1.2346,0.872385,0.198455,10.122394181,394.815,6.61733
2018-08-13 09:30:07.900,-1.20093,0.777494,0.273959,9.96121596791,394.908,6.59386
2018-08-13 09:30:08.000,-1.02748,0.825449,0.266562,10.1492616758,394.75,6.60664
2018-08-13 09:30:08.100,-0.929524,0.537716,0.333394,10.0653049849,394.714,6.61275
2018-08-13 09:30:08.200,-1.23358,0.633627,0.142592,10.2298718048,394.752,6.60199
2018-08-13 09:30:08.300,-0.994825,0.537716,0.405582,10.0955279603,394.912,6.6079
2018-08-13 09:30:08.400,-1.47132,0.268348,0.246155,10.1207150049,394.84,6.62359
2018-08-13 09:30:08.500,-1.45704,0.378544,0.166059,10.2836182613,394.728,6.64825
2018-08-13 09:30:08.600,-1.37643,0.362218,0.313242,10.2836182613,394.627,6.63402
2018-08-13 09:30:08.700,-1.48867,0.477516,0.134174,10.3373698141,394.718,6.6493
2018-08-13 09:30:08.800,-1.3948,0.554041,0.122695,10.4936141926,394.696,6.65484
2018-08-13 09:30:08.900,-1.55091,0.569346,0.146418,9.71953464923,394.641,6.65547
2018-08-13 09:30:09.000,-1.64886,0.668318,0.249982,9.4762792667,395.016,6.54105
2018-08-13 09:30:09.100,-1.56723,0.665257,0.241564,9.52995421494,395.053,6.46314
2018-08-13 09:30:09.200,-2.03046,0.570366,-0.0696377,9.34379105948,395.171,6.41419
2018-08-13 09:30:09.300,-2.12637,0.632607,0.157897,9.77155454939,395.123,6.38954
2018-08-13 09:30:09.400,-1.87027,0.745864,0.0344362,9.58531184305,395.129,6.37027
2018-08-13 09:30:09.500,-1.79273,0.761169,0.209678,9.8521109278,394.94,6.38001
2018-08-13 09:30:09.600,-1.93353,1.06421,0.266307,10.2819386074,395.102,6.36601
2018-08-13 09:30:09.700,-1.71314,0.745864,0.237738,9.71785666756,395.155,6.36192
2018-08-13 09:30:09.800,-1.44173,0.524451,0.21427,9.47795653169,395.066,6.36992
2018-08-13 09:30:09.900,-1.39378,0.535675,0.0344362,9.63731940048,395.079,6.36123
2018-08-13 09:30:10.000,-1.42541,0.474455,-0.0418337,9.63899714326,394.991,6.35653
2018-08-13 09:30:10.100,-1.64784,0.762189,0.0380074,9.61047619296,395.115,6.371
2018-08-13 09:30:10.200,-1.55091,1.04992,0.0464252,9.64235264373,394.968,6.38593
2018-08-13 09:30:10.300,-1.40806,1.12849,-0.0181109,9.71785666756,394.904,6.38363
2018-08-13 09:30:10.400,-1.57029,1.11012,-0.121675,9.66584170449,395.015,6.38041
2018-08-13 09:30:10.500,-1.69579,0.616281,-0.133153,9.82525752757,394.943,6.38672
2018-08-13 09:30:10.600,-1.76007,0.680562,-0.105604,9.9880758182,395.055,6.39721
2018-08-13 09:30:10.700,-1.5356,0.745864,-0.0219372,9.87896560211,394.927,6.40701
2018-08-13 09:30:10.800,-1.61825,0.954011,-0.165549,9.85043255295,394.966,6.42537
2018-08-13 09:30:10.900,-1.47234,0.986662,-0.181109,9.88064406155,394.992,6.4389
2018-08-13 09:30:11.000,-1.39173,0.700969,-0.177283,9.99311218198,394.884,6.4506
2018-08-13 09:30:11.100,-1.48867,0.745864,-0.145397,9.82525752757,395.007,6.44914
2018-08-13 09:30:11.200,-1.52132,0.921361,-0.0897893,10.2013210727,395.096,6.45506
2018-08-13 09:30:11.300,-1.26725,0.951971,-0.177538,9.96121596791,394.922,6.46997
2018-08-13 09:30:11.400,-1.09074,1.00401,-0.281357,9.77323269032,395.007,6.48764
2018-08-13 09:30:11.500,-1.1091,0.921361,-0.432621,9.87896560211,395.098,6.49041
2018-08-13 09:30:11.600,-1.29582,0.952991,-0.0663217,9.90750008958,394.741,6.49007
2018-08-13 09:30:11.700,-1.21726,0.985642,-0.141316,9.98471826724,394.962,6.47192
2018-08-13 09:30:11.800,-1.37643,1.20807,-0.237227,9.53330906842,394.977,6.45697
2018-08-13 09:30:11.900,-1.39378,1.3346,-0.317069,9.55847110408,394.992,6.44988
