Instrument:	129.240.244.146
File Type:	2
Software Version:	8.7.5
Timestamp:	23:30:00
Timezone:	UTC
DATAH	DATE	TIME	BEC_3_1_1(other)	CS650PERIOD_3_1_1(other)	CS650VRATIO_3_1_1(other)	FC1DRIFTmax_1_1_1(other)	FC1DRIFTmean_1_1_1(other)	FC1DRIFTmin_1_1_1(other)	FC1DRIFTstd_1_1_1(other)	FC1DRIFTsum_1_1_1(other)	FC1WSmax_1_1_1(m/s)	FC1WSmean_1_1_1(m/s)	FC1WSmin_1_1_1(m/s)	FC2DRIFTmax_1_1_1(other)	FC2DRIFTmean_1_1_1(other)	FC2DRIFTmin_1_1_1(other)	FC2DRIFTstd_1_1_1(other)	FC2DRIFTsum_1_1_1(other)	FC2WSmax_1_1_1(m/s)	FC2WSmean_1_1_1(m/s)	FC2WSmin_1_1_1(m/s)	LWIN_1_1_1(W/m^2)	LWOUT_1_1_1(W/m^2)	METNORR_1_1_1(other)	METNOR_1_1_1(other)	METNOS_1_1_1(other)	PA_1_1_1(kPa)	PERMITTIVITY_3_1_1(other)	RH_1_1_1(%)	RH_1_2_1(%)	SHF_1_1_1(W/m^2)	SHF_1_1_2(other)	SHF_2_1_1(W/m^2)	SHF_2_1_2(other)	SWC_3_1_1(m^3/m^3)	SWIN_1_1_1(W/m^2)	SWOUT_1_1_1(W/m^2)	TA_1_1_1(C)	TA_1_2_1(C)	TSS_1_1_1(C)	TS_1_1_1(C)	TS_2_1_1(C)	TS_3_1_1(C)	VIN_1_1_1(V)	WD_1_1_1(degrees)	WS_1_1_1(m/s)	CHK
DATA	2018-08-13	23:40:00:000	0.003	3.0178	1.009	0.002	0.002	0.002	0	0.01	3.49972	3.48417	3.46528	0.001	0.001	0.001	0	0.007	2.52778	2.45806	2.40306	2056.02	323.425	0	388.444	0.06	87.2658	15.4564	75.7269	80.2753	-14.8266	-0.628884	-23.3833	-1.03088	0.2828	-8.23738	-3.86193	5.20078	5.32095	0.99913	8.1	10.0019	8.3995	13.6862	13	0.54	 13
DATA	2018-08-13	23:41:00:000	0.0033	3.0178	1.0099	0.002	0.002	0.002	0	0.01	3.49583	3.47111	3.45556	0.001	0.001	0.001	0	0.007	2.54361	2.45806	2.31722	2035.98	322.885	0	388.433	0.06	87.2657	15.4545	75.2535	80.3499	-14.8495	-0.629855	-23.3907	-1.0312	0.2828	-8.14821	-3.80497	5.28145	5.32095	0.95875	8.1	10.0271	8.4082	13.6868	15	0.69	 64
DATA	2018-08-13	23:42:00:000	0.0033	3.0178	1.01	0.002	0.002	0.002	0	0.01	3.56528	3.50667	3.44306	0.001	0.001	0.001	0	0.006	2.56167	2.32139	2.32139	2035.6	321.973	0	388.442	0.06	87.2655	15.4541	75.2535	80.4015	-14.8647	-0.630503	-23.4641	-1.03444	0.2828	-8.00124	-3.68988	5.32179	5.28062	0.83288	8.1	10.0476	8.3995	13.6896	28	0.57	180
DATA	2018-08-13	23:43:00:000	0.0031	3.0178	1.0092	0.002	0.002	0.002	0	0.01	3.50056	3.46222	3.45472	0.001	0.001	0.001	0	0.005	2.46195	2.40361	2.36194	2040.42	321.235	0	388.612	0.06	87.2656	15.456	74.5098	80.3682	-14.9182	-0.632768	-23.4788	-1.03509	0.2828	-7.94049	-3.65849	5.32179	5.28062	0.72044	8.1	10.0646	8.3733	13.6984	12	0.58	 23
DATA	2018-08-13	23:44:00:000	0.0031	3.0178	1.0093	0.002	0.002	0.002	0	0.009	3.45806	3.425	3.41389	0.001	0.001	0.001	0	0.006	2.48139	2.29	2.29	2043.25	321.555	0	388.444	0.07	87.2657	15.4559	76.4368	80.5613	-14.9334	-0.633416	-23.5008	-1.03606	0.2828	-8.1247	-3.85263	5.28145	5.28062	0.69869	8.1	10.0779	8.3704	13.6915	19	0.42	192
DATA	2018-08-13	23:45:00:000	0.0029	3.0178	1.0088	0.002	0.002	0.002	0	0.009	3.44556	3.43556	3.42278	0.001	0.001	0.001	0	0.007	2.38472	2.33556	2.28639	2116.59	321.716	0	388.449	0.06	87.2655	15.457	74.5436	80.4582	-15.0326	-0.637623	-23.5448	-1.038	0.2828	-7.87386	-3.80265	5.32179	5.28062	0.61443	8.1	10.0837	8.3995	13.6949	0	0.28	233
DATA	2018-08-13	23:46:00:000	0.0028	3.0178	1.0085	0.002	0.002	0.002	0	0.009	3.49667	3.46611	3.43694	0.001	0.001	0.001	0	0.007	2.46361	2.39	2.33972	2055.64	321.244	0	388.444	0.06	87.2655	15.4578	74.2393	80.3055	-15.0784	-0.639565	-23.5742	-1.03929	0.2828	-7.79744	-3.75266	5.36215	5.24028	0.58033	8.1	10.0854	8.3617	13.7161	0	0.2	151
DATA	2018-08-13	23:47:00:000	0.0032	3.0178	1.0097	0.002	0.002	0.002	0	0.01	3.49833	3.47611	3.45611	0.001	0.001	0.001	0	0.007	2.44111	2.39361	2.33417	2041.21	321.3	0	388.444	0.05	87.2656	15.4548	74.2731	80.1211	-15.0555	-0.638594	-23.5962	-1.04026	0.2828	-7.70141	-3.67826	5.36215	5.19995	0.54659	8.1	10.0902	8.3529	13.7085	63	0.5	153
DATA	2018-08-13	23:48:00:000	0.0027	3.0178	1.0081	0.002	0.002	0.002	0	0.01	3.49806	3.48972	3.46806	0.001	0.001	0.001	0	0.007	2.44583	2.32056	2.30861	2038.8	322.705	0	388.449	0.06	87.2658	15.4587	74.1379	80.005	-15.0861	-0.639889	-23.6183	-1.04124	0.2828	-7.83565	-3.72011	5.40251	5.24028	0.84779	8.1	10.0929	8.3413	13.6863	74	0.84	  3
DATA	2018-08-13	23:49:00:000	0.0033	3.0178	1.0099	0.002	0.002	0.002	0	0.01	3.52611	3.50694	3.44694	0.001	0.001	0.001	0	0.007	2.41361	2.31833	2.13778	2025.42	322.884	0	388.449	0.06	87.2657	15.4544	73.6984	79.8904	-15.1471	-0.642478	-23.6623	-1.04318	0.2828	-7.91698	-3.86891	5.40251	5.32095	0.90267	8.1	10.0946	8.3239	13.7121	69	0.61	117
