Instrument:	129.240.244.146
File Type:	2
Software Version:	8.7.5
Timestamp:	09:30:00
Timezone:	UTC
DATAH	DATE	TIME	BEC_3_1_1(other)	CS650PERIOD_3_1_1(other)	CS650VRATIO_3_1_1(other)	FC1DRIFTmax_1_1_1(other)	FC1DRIFTmean_1_1_1(other)	FC1DRIFTmin_1_1_1(other)	FC1DRIFTstd_1_1_1(other)	FC1DRIFTsum_1_1_1(other)	FC1WSmax_1_1_1(m/s)	FC1WSmean_1_1_1(m/s)	FC1WSmin_1_1_1(m/s)	FC2DRIFTmax_1_1_1(other)	FC2DRIFTmean_1_1_1(other)	FC2DRIFTmin_1_1_1(other)	FC2DRIFTstd_1_1_1(other)	FC2DRIFTsum_1_1_1(other)	FC2WSmax_1_1_1(m/s)	FC2WSmean_1_1_1(m/s)	FC2WSmin_1_1_1(m/s)	LWIN_1_1_1(W/m^2)	LWOUT_1_1_1(W/m^2)	METNORR_1_1_1(other)	METNOR_1_1_1(other)	METNOS_1_1_1(other)	PA_1_1_1(kPa)	PERMITTIVITY_3_1_1(other)	RH_1_1_1(%)	RH_1_2_1(%)	SHF_1_1_1(W/m^2)	SHF_1_1_2(other)	SHF_2_1_1(W/m^2)	SHF_2_1_2(other)	SWC_3_1_1(m^3/m^3)	SWIN_1_1_1(W/m^2)	SWOUT_1_1_1(W/m^2)	TA_1_1_1(C)	TA_1_2_1(C)	TSS_1_1_1(C)	TS_1_1_1(C)	TS_2_1_1(C)	TS_3_1_1(C)	VIN_1_1_1(V)	WD_1_1_1(degrees)	WS_1_1_1(m/s)	CHK
DATA	2018-08-13	09:30:00:000	0.0034	3.0484	1.0101	0.003	0.003	0.003	0	0.014	3.86528	3.81083	3.72417	0.008	0.007	0.006	0.001	0.036	4.66889	4.62167	4.62	4542.3	411.805	0	388.506	0.16	87.3131	15.94	42.3045	48.43	9.34748	0.396482	26.5029	1.16841	0.2901	683.695	128.702	9.0421	8.96021	16.3593	7.9	10.2542	7.6344	13.708	314	1.26	127
DATA	2018-08-13	09:31:00:000	0.0031	3.0484	1.0092	0.003	0.003	0.003	0	0.033	3.67972	3.55972	3.37861	0.014	0.012	0.008	0.002	0.123	4.66472	4.44028	4.29278	4678.02	411.039	0	388.515	0.16	87.313	15.9421	42.477	48.9479	9.54587	0.404897	26.87	1.18459	0.2901	682.141	128.833	9.24327	9.08089	16.8346	7.9	10.2122	7.6696	13.6964	237	2.29	  1
DATA	2018-08-13	09:32:00:000	0.0034	3.0484	1.0102	0.003	0.003	0.003	0	0.014	3.46694	3.43417	3.39722	0.012	0.011	0.009	0.001	0.053	4.45667	4.44306	4.41944	4460.44	409.601	0	388.5	0.17	87.3131	15.9398	43.4195	45.3402	9.73664	0.412989	27.1783	1.19818	0.2901	681.831	127.865	9.40282	9.08089	16.6651	7.9	10.1897	7.6549	13.7264	217	2.09	 71
DATA	2018-08-13	09:33:00:000	0.0033	3.0484	1.01	0.003	0.003	0.003	0	0.014	3.51333	3.46806	3.365	0.006	0.005	0.005	0	0.026	4.59222	4.52583	4.45333	4342.06	412.542	0	388.509	0.17	87.3132	15.9404	38.5538	46.0085	9.93503	0.421404	27.494	1.2121	0.2901	688.115	129.77	9.48329	9.08089	17.0385	8	10.1877	7.6549	13.7154	209	1.86	248
DATA	2018-08-13	09:34:00:000	0.0031	3.0484	1.0092	0.003	0.003	0.003	0	0.016	3.49639	3.31861	3.26083	0.008	0.006	0.005	0.001	0.03	4.45778	4.42472	4.32861	4291.93	413.097	0	388.509	0.15	87.3132	15.9422	40.1419	48.2891	10.1868	0.432085	27.8464	1.22764	0.2902	683.239	128.972	9.64577	9.20158	17.3194	8	10.209	7.6373	13.7183	237	1.4	161
DATA	2018-08-13	09:35:00:000	0.0031	3.0484	1.0093	0.004	0.004	0.003	0	0.018	3.4225	3.36889	3.2925	0.005	0.005	0.004	0.001	0.023	4.44917	4.3375	4.33333	4265.57	410.001	0	388.504	0.16	87.3131	15.9418	37.7155	45.3382	10.3776	0.440176	28.1768	1.2422	0.2901	691.103	130.017	9.76497	9.32231	17.3194	8	10.2524	7.6784	13.7169	222	2.31	 52
DATA	2018-08-13	09:36:00:000	0.003	3.0484	1.0089	0.004	0.004	0.004	0	0.019	3.66139	3.5325	3.46056	0.006	0.005	0.004	0.001	0.025	4.72528	4.58917	4.52667	4341.73	413.138	0	388.506	0.17	87.3131	15.9428	36.121	44.3379	10.6065	0.449886	28.5365	1.25806	0.2902	689.051	130.118	9.847	9.28209	17.0984	8	10.308	7.693	13.7029	188	1.68	230
DATA	2018-08-13	09:37:00:000	0.003	3.0484	1.009	0.004	0.004	0.004	0	0.019	3.38583	3.30583	3.28944	0.011	0.008	0.004	0.003	0.039	4.64583	4.61361	4.55056	4365.08	411.177	0	388.526	0.16	87.3132	15.9425	39.331	46.1859	10.7744	0.457006	28.8816	1.27327	0.2902	692.348	130.172	9.92598	9.32231	17.4081	8	10.3529	7.737	13.7164	241	3.18	111
DATA	2018-08-13	09:38:00:000	0.0032	3.0484	1.0096	0.004	0.004	0.004	0	0.019	3.43972	3.34306	3.25778	0.003	0.003	0.003	0	0.015	4.35694	4.29945	4.20611	4381.87	408.798	0	388.497	0.16	87.3131	15.9412	37.4081	46.7345	11.0186	0.467363	29.2119	1.28784	0.2901	683.768	127.447	9.92598	9.28209	15.7859	8	10.3806	7.7312	13.7169	231	1.6	114
DATA	2018-08-13	09:39:00:000	0.0029	3.0484	1.0086	0.004	0.004	0.004	0	0.019	3.61306	3.35444	3.20833	0.003	0.003	0.002	0	0.013	4.38611	4.35278	4.09333	4431.83	415.937	0	388.504	0.17	87.3133	15.9434	41.257	46.8736	11.1941	0.474807	29.5056	1.30078	0.2902	695.529	131.289	9.92598	9.28209	17.0806	8	10.4062	7.7282	13.718	249	1.6	218
DATA	2018-08-13	09:40:00:000	0.0032	3.0484	1.0094	0.004	0.004	0.003	0	0.018	3.5025	3.39056	3.31472	0.003	0.003	0.002	0	0.014	4.42583	4.35917	4.13167	4474.06	415.7	0	388.506	0.17	87.313	15.9416	39.0269	47.8441	11.4001	0.483546	29.88	1.31729	0.2901	684.069	129.153	9.8857	9.32231	17.6693	8	10.4286	7.7663	13.7	321	0.87	101
DATA	2018-08-13	09:41:00:000	0.0032	3.0484	1.0096	0.003	0.003	0.003	0	0.013	3.61111	3.59194	3.36028	0.002	0.002	0.002	0	0.01	4.52945	4.43667	4.37194	4490.6	413.087	0	388.507	0.16	87.3131	15.9412	38.8612	46.2524	11.629	0.493256	30.2177	1.33218	0.2901	680.562	128.02	9.68449	9.28062	16.6921	8	10.4555	7.7722	13.7254	310	1.74	122
DATA	2018-08-13	09:42:00:000	0.0031	3.0484	1.0092	0.003	0.002	0.002	0	0.012	3.65861	3.5975	3.42667	0.002	0.002	0.002	0	0.011	4.53555	4.47278	4.37861	4561.97	413.438	0	388.504	0.15	87.3132	15.9423	38.2191	46.4502	11.8122	0.501024	30.5407	1.34642	0.2902	689.419	129.949	9.64421	9.32231	16.4883	8.1	10.4789	7.8102	13.7056	276	1.82	130
DATA	2018-08-13	09:43:00:000	0.0031	3.0484	1.0094	0.003	0.003	0.002	0	0.013	3.63389	3.35444	3.24472	0.002	0.002	0.001	0	0.008	4.28195	4.15222	4.07667	4671.33	410.668	0	388.506	0.16	87.313	15.9417	38.8579	45.595	12.0487	0.511057	30.9225	1.36325	0.2901	692.619	128.122	9.52351	9.28209	16.4066	8.1	10.4902	7.8132	13.7101	222	2.72	 58
DATA	2018-08-13	09:44:00:000	0.0029	3.0484	1.0088	0.003	0.003	0.003	0	0.027	3.53722	3.47944	3.32889	0.002	0.002	0.002	0	0.018	4.365	4.20472	4.12028	4855.44	411.524	0	388.5	0.18	87.313	15.9432	39.973	46.6693	12.2089	0.517854	31.2382	1.37717	0.2902	692.281	127.634	9.60402	9.20158	16.5524	8.1	10.4902	7.8102	13.7274	233	2.56	138
DATA	2018-08-13	09:45:00:000	0.0035	3.0484	1.0104	0.003	0.003	0.002	0	0.013	3.57639	3.38861	3.35611	0.002	0.002	0.002	0	0.01	4.17278	4.11333	4.06722	4626.43	411.35	0	388.506	0.2	87.313	15.9393	34.333	42.4524	12.4684	0.528858	31.6053	1.39335	0.2901	692.311	127.496	9.56224	9.16139	16.3542	8.1	10.4535	7.819	13.7181	215	2.04	 99
DATA	2018-08-13	09:46:00:000	0.0029	3.0484	1.0088	0.003	0.002	0.002	0	0.012	3.44056	3.34083	3.28639	0.002	0.002	0.002	0	0.009	4.15167	4.06778	3.94167	4512.12	413.464	0	388.503	0.19	87.3132	15.943	37.5433	45.5041	12.6744	0.537597	31.9723	1.40953	0.2902	701.405	130.715	9.56224	9.24184	17.3561	8.1	10.4663	7.8132	13.6986	271	2.65	130
DATA	2018-08-13	09:47:00:000	0.0031	3.0472	1.0093	0.003	0.002	0.002	0	0.012	3.53833	3.42528	3.37611	0.002	0.002	0.001	0	0.008	4.21389	4.16528	3.98445	4554.63	417.06	0	388.499	0.18	87.328	15.9238	38.5538	46.6766	12.8957	0.546983	32.288	1.42345	0.2899	689.619	128.7	9.64421	9.28209	17.0122	8.1	10.5103	7.8541	13.7266	184	1.26	244
DATA	2018-08-13	09:48:00:000	0.0032	3.0472	1.0097	0.003	0.002	0.002	0	0.012	3.63278	3.60556	3.55139	0.004	0.004	0.003	0	0.018	4.53611	4.2825	4.27111	4591.12	416.304	0	388.502	0.16	87.328	15.9229	36.4251	41.6753	13.0941	0.555398	32.6331	1.43866	0.2899	705.375	132.714	9.64421	9.32231	17.3594	8.2	10.5555	7.8541	13.7019	177	1.07	 77
DATA	2018-08-13	09:49:00:000	0.003	3.0472	1.0089	0.002	0.002	0.002	0	0.012	3.54806	3.50306	3.435	0.004	0.004	0.004	0	0.018	4.54194	4.53555	4.3125	4581.53	419.167	0	388.501	0.16	87.3279	15.9248	33.4178	40.6875	13.3077	0.564461	32.9781	1.45387	0.2899	700.215	132.462	9.64421	9.32231	17.7911	8.2	10.6018	7.86	13.7218	181	1.13	137
DATA	2018-08-13	09:50:00:000	0.0031	3.0472	1.0093	0.003	0.003	0.002	0	0.013	3.55028	3.37333	3.29861	0.003	0.003	0.003	0	0.015	4.76194	4.50639	4.33583	4588.07	419.874	0	388.513	0.18	87.3279	15.9238	35.1102	41.9002	13.529	0.573847	33.3379	1.46973	0.2899	713.231	135.553	9.64421	9.52351	18.0887	8.2	10.6375	7.8834	13.6892	198	2.59	189
DATA	2018-08-13	09:51:00:000	0.0033	3.0472	1.01	0.003	0.002	0.002	0	0.012	3.29972	3.27	3.21528	0.003	0.002	0.002	0	0.012	4.53222	4.405	4.32	4587.66	414.331	0	388.496	0.18	87.3131	15.9221	36.121	42.6114	13.7351	0.582586	33.7049	1.48592	0.2899	709.4	132.356	10.2882	9.64421	17.4272	8.2	10.6789	7.9097	13.7125	213	2.54	  5
DATA	2018-08-13	09:52:00:000	0.0031	3.0472	1.0093	0.002	0.002	0.002	0	0.011	3.30028	3.26167	3.14333	0.002	0.002	0.002	0	0.008	4.45972	4.31556	4.25444	4635.32	410.013	0	388.494	0.17	87.3129	15.9237	32.5731	39.7251	13.9411	0.591325	34.0353	1.50048	0.2899	670.199	122.998	10.2882	9.60402	16.6643	8.2	10.7143	7.9155	13.6673	200	2.64	144
DATA	2018-08-13	09:53:00:000	0.0033	3.0472	1.0099	0.003	0.002	0.002	0	0.012	3.2675	3.18528	3.15944	0.002	0.002	0.002	0	0.009	4.18	4.16944	4.09806	4599.52	414.025	0	388.493	0.18	87.3281	15.9225	33.0489	40.6967	14.1547	0.600387	34.373	1.51537	0.2899	692.867	127.46	10.2882	9.60402	16.593	8.2	10.7453	7.9214	13.7166	179	1.82	122
DATA	2018-08-13	09:54:00:000	0.0029	3.0472	1.0086	0.003	0.002	0.002	0	0.012	3.44861	3.29194	3.20528	0.002	0.002	0.001	0	0.008	4.39667	4.07472	4.05111	4613.45	410.745	0	388.492	0.17	87.3132	15.9253	35.1749	41.9986	14.3531	0.608802	34.7401	1.53155	0.2899	703.255	129.358	10.2882	9.60402	16.9916	8.2	10.7808	7.9331	13.694	215	2.56	138
DATA	2018-08-13	09:55:00:000	0.0031	3.0472	1.0092	0.003	0.002	0.002	0	0.012	3.35806	3.325	3.15778	0.002	0.002	0.002	0	0.009	4.34806	4.31611	4.25	4608.65	416.356	0	388.499	0.16	87.3278	15.9241	37.1009	42.7746	14.5668	0.617864	35.0778	1.54644	0.2899	703.278	130.188	10.2479	9.48329	17.5818	8.2	10.8004	7.9477	13.7042	225	2.8	171
DATA	2018-08-13	09:56:00:000	0.003	3.0472	1.009	0.002	0.002	0.002	0	0.011	3.20528	3.18333	2.8975	0.002	0.002	0.002	0	0.009	4.05278	4.05278	3.85306	4570.75	410.945	0	388.498	0.16	87.3281	15.9244	32.4041	40.498	14.7499	0.625632	35.4449	1.56262	0.2899	711.057	131.201	10.2479	9.48329	16.6932	8.2	10.8279	7.9652	13.6807	228	2.6	214
DATA	2018-08-13	09:57:00:000	0.0028	3.0472	1.0085	0.003	0.003	0.002	0	0.013	3.41861	3.26972	3.23306	0.002	0.002	0.002	0	0.008	4.17417	4.17417	3.87222	4578.1	413.472	0	388.499	0.18	87.3278	15.9257	34.7356	39.8149	14.9941	0.635989	35.7532	1.57622	0.2899	711.207	131.235	10.2898	9.36253	16.774	8.2	10.8304	7.9681	13.7019	254	2.19	137
DATA	2018-08-13	09:58:00:000	0.0032	3.0472	1.0097	0.003	0.003	0.002	0	0.013	3.49167	3.29194	3.19861	0.002	0.002	0.002	0	0.011	4.11944	4.10222	3.67306	4564.29	412.399	0	388.49	0.17	87.3281	15.9229	33.4178	41.9859	15.1925	0.644404	36.135	1.59305	0.2899	715.464	131.425	10.2495	9.36253	16.774	8.2	10.8399	7.9886	13.7005	236	1.98	 76
DATA	2018-08-13	09:59:00:000	0.0029	3.0472	1.0086	0.003	0.003	0.002	0	0.013	3.44556	3.0775	2.93417	0.002	0.002	0.002	0	0.011	3.90556	3.41444	3.32972	4575.41	411.411	0	388.49	0.19	87.3281	15.9253	34.2288	42.9016	15.4138	0.65379	36.48	1.60826	0.2899	716.755	130.333	10.0869	9.28209	16.4685	8.3	10.8659	8.0003	13.6974	243	2.29	212
